From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Pathway	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs
P05090	P05090	reviewed	APOD_HUMAN	Apolipoprotein D (Apo-D) (ApoD)	APOD	Homo sapiens (Human)	189		angiogenesis [GO:0001525]; brain development [GO:0007420]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of lipoprotein lipid oxidation [GO:0060588]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of smooth muscle cell-matrix adhesion [GO:2000098]; negative regulation of T cell migration [GO:2000405]; peripheral nervous system axon regeneration [GO:0014012]; response to axon injury [GO:0048678]; response to reactive oxygen species [GO:0000302]; tissue regeneration [GO:0042246]	cytoplasm [GO:0005737]; cytosolic ribosome [GO:0022626]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; cholesterol binding [GO:0015485]; lipid transporter activity [GO:0005319]; angiogenesis [GO:0001525]; brain development [GO:0007420]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of lipoprotein lipid oxidation [GO:0060588]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of smooth muscle cell-matrix adhesion [GO:2000098]; negative regulation of T cell migration [GO:2000405]; peripheral nervous system axon regeneration [GO:0014012]; response to axon injury [GO:0048678]; response to reactive oxygen species [GO:0000302]; tissue regeneration [GO:0042246]	GO:0000302; GO:0001525; GO:0005319; GO:0005576; GO:0005615; GO:0005737; GO:0005783; GO:0006006; GO:0006629; GO:0007420; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0070062; GO:0071638; GO:1900016; GO:2000098; GO:2000405
P05109	P05109	reviewed	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	Homo sapiens (Human)	93		activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; astrocyte development [GO:0014002]; autocrine signaling [GO:0035425]; autophagy [GO:0006914]; chronic inflammatory response [GO:0002544]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; leukocyte migration involved in inflammatory response [GO:0002523]; neutrophil aggregation [GO:0070488]; neutrophil chemotaxis [GO:0030593]; peptide secretion [GO:0002790]; peptidyl-cysteine S-nitrosylation [GO:0018119]; positive regulation of cell growth [GO:0030307]; positive regulation of inflammatory response [GO:0050729]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of peptide secretion [GO:0002793]; regulation of cytoskeleton organization [GO:0051493]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to zinc ion [GO:0010043]; sequestering of zinc ion [GO:0032119]	calprotectin complex [GO:1990660]; collagen-containing extracellular matrix [GO:0062023]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intermediate filament cytoskeleton [GO:0045111]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]; arachidonic acid binding [GO:0050544]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; microtubule binding [GO:0008017]; RAGE receptor binding [GO:0050786]; Toll-like receptor 4 binding [GO:0035662]; zinc ion binding [GO:0008270]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; astrocyte development [GO:0014002]; autocrine signaling [GO:0035425]; autophagy [GO:0006914]; chronic inflammatory response [GO:0002544]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; leukocyte migration involved in inflammatory response [GO:0002523]; neutrophil aggregation [GO:0070488]; neutrophil chemotaxis [GO:0030593]; peptide secretion [GO:0002790]; peptidyl-cysteine S-nitrosylation [GO:0018119]; positive regulation of cell growth [GO:0030307]; positive regulation of inflammatory response [GO:0050729]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of peptide secretion [GO:0002793]; regulation of cytoskeleton organization [GO:0051493]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to zinc ion [GO:0010043]; sequestering of zinc ion [GO:0032119]	GO:0002523; GO:0002544; GO:0002790; GO:0002793; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006914; GO:0006915; GO:0006919; GO:0006954; GO:0008017; GO:0008270; GO:0010043; GO:0014002; GO:0018119; GO:0030307; GO:0030593; GO:0032119; GO:0032496; GO:0034121; GO:0034774; GO:0035425; GO:0035662; GO:0042742; GO:0045087; GO:0045111; GO:0045471; GO:0048306; GO:0050544; GO:0050729; GO:0050786; GO:0050832; GO:0051092; GO:0051493; GO:0062023; GO:0070062; GO:0070488; GO:1990660; GO:2001244
P05154	P05154	reviewed	IPSP_HUMAN	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)	406		fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; lipid transport [GO:0006869]; negative regulation of hydrolase activity [GO:0051346]; spermatogenesis [GO:0007283]	acrosomal membrane [GO:0002080]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; platelet alpha granule [GO:0031091]; platelet dense tubular network [GO:0031094]; protein C inhibitor-coagulation factor V complex [GO:0097181]; protein C inhibitor-coagulation factor Xa complex [GO:0097182]; protein C inhibitor-coagulation factor XI complex [GO:0097183]; protein C inhibitor-KLK3 complex [GO:0036029]; protein C inhibitor-plasma kallikrein complex [GO:0036030]; protein C inhibitor-PLAT complex [GO:0036026]; protein C inhibitor-PLAU complex [GO:0036027]; protein C inhibitor-thrombin complex [GO:0036028]; protein C inhibitor-TMPRSS11E complex [GO:0036025]; protein C inhibitor-TMPRSS7 complex [GO:0036024]; protein-containing complex [GO:0032991]; acrosin binding [GO:0032190]; glycosaminoglycan binding [GO:0005539]; heparin binding [GO:0008201]; phosphatidylcholine binding [GO:0031210]; protease binding [GO:0002020]; retinoic acid binding [GO:0001972]; serine-type endopeptidase inhibitor activity [GO:0004867]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; lipid transport [GO:0006869]; negative regulation of hydrolase activity [GO:0051346]; spermatogenesis [GO:0007283]	GO:0001972; GO:0002020; GO:0002080; GO:0004867; GO:0005539; GO:0005576; GO:0005615; GO:0006869; GO:0007283; GO:0007342; GO:0008201; GO:0009897; GO:0016020; GO:0031091; GO:0031094; GO:0031210; GO:0032190; GO:0032991; GO:0036024; GO:0036025; GO:0036026; GO:0036027; GO:0036028; GO:0036029; GO:0036030; GO:0051346; GO:0070062; GO:0097181; GO:0097182; GO:0097183
P05155	P05155	reviewed	IC1_HUMAN	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	SERPING1 C1IN C1NH	Homo sapiens (Human)	500		blood circulation [GO:0008015]; blood coagulation [GO:0007596]; complement activation, classical pathway [GO:0006958]; fibrinolysis [GO:0042730]; innate immune response [GO:0045087]; negative regulation of complement activation, lectin pathway [GO:0001869]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]; serine-type endopeptidase inhibitor activity [GO:0004867]; blood circulation [GO:0008015]; blood coagulation [GO:0007596]; complement activation, classical pathway [GO:0006958]; fibrinolysis [GO:0042730]; innate immune response [GO:0045087]; negative regulation of complement activation, lectin pathway [GO:0001869]	GO:0001869; GO:0004867; GO:0005576; GO:0005615; GO:0005788; GO:0006958; GO:0007596; GO:0008015; GO:0031093; GO:0042730; GO:0045087; GO:0062023; GO:0070062; GO:0072562
P05156	P05156	reviewed	CFAI_HUMAN	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI IF	Homo sapiens (Human)	583		complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; proteolysis [GO:0006508]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; proteolysis [GO:0006508]	GO:0004252; GO:0005576; GO:0005615; GO:0006508; GO:0006958; GO:0016020; GO:0045087; GO:0046872; GO:0070062
P05408	P05408	reviewed	7B2_HUMAN	Neuroendocrine protein 7B2 (Pituitary polypeptide) (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	SCG5 SGNE1	Homo sapiens (Human)	212		intracellular protein transport [GO:0006886]; neuropeptide signaling pathway [GO:0007218]; peptide hormone processing [GO:0016486]; regulation of hormone secretion [GO:0046883]	extracellular region [GO:0005576]; nucleus [GO:0005634]; secretory granule [GO:0030141]; enzyme inhibitor activity [GO:0004857]; enzyme regulator activity [GO:0030234]; GTP binding [GO:0005525]; unfolded protein binding [GO:0051082]; intracellular protein transport [GO:0006886]; neuropeptide signaling pathway [GO:0007218]; peptide hormone processing [GO:0016486]; regulation of hormone secretion [GO:0046883]	GO:0004857; GO:0005525; GO:0005576; GO:0005634; GO:0006886; GO:0007218; GO:0016486; GO:0030141; GO:0030234; GO:0046883; GO:0051082
P05452	P05452	reviewed	TETN_HUMAN	Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)	CLEC3B TNA	Homo sapiens (Human)	202		bone mineralization [GO:0030282]; ossification [GO:0001503]; positive regulation of plasminogen activation [GO:0010756]	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; granular component [GO:0001652]; platelet dense granule lumen [GO:0031089]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; heparin binding [GO:0008201]; kringle domain binding [GO:0036143]; bone mineralization [GO:0030282]; ossification [GO:0001503]; positive regulation of plasminogen activation [GO:0010756]	GO:0001503; GO:0001652; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0008201; GO:0010756; GO:0030246; GO:0030282; GO:0031089; GO:0036143; GO:0062023; GO:0070062
P05543	P05543	reviewed	THBG_HUMAN	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	SERPINA7 TBG	Homo sapiens (Human)	415		thyroid hormone transport [GO:0070327]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]; thyroid hormone transport [GO:0070327]	GO:0004867; GO:0005576; GO:0005615; GO:0070062; GO:0070327
P05546	P05546	reviewed	HEP2_HUMAN	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	SERPIND1 HCF2	Homo sapiens (Human)	499		blood coagulation [GO:0007596]; chemotaxis [GO:0006935]	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; endopeptidase inhibitor activity [GO:0004866]; heparin binding [GO:0008201]; serine-type endopeptidase inhibitor activity [GO:0004867]; blood coagulation [GO:0007596]; chemotaxis [GO:0006935]	GO:0004866; GO:0004867; GO:0005576; GO:0005615; GO:0005788; GO:0006935; GO:0007596; GO:0008201; GO:0070062
P05937	P05937	reviewed	CALB1_HUMAN	Calbindin (Calbindin D28) (D-28K) (Vitamin D-dependent calcium-binding protein, avian-type)	CALB1 CAB27	Homo sapiens (Human)	261		cochlea development [GO:0090102]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; metanephric collecting duct development [GO:0072205]; metanephric connecting tubule development [GO:0072286]; metanephric distal convoluted tubule development [GO:0072221]; metanephric part of ureteric bud development [GO:0035502]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; response to auditory stimulus [GO:0010996]; retina layer formation [GO:0010842]; short-term memory [GO:0007614]	axon [GO:0030424]; calyx of Held [GO:0044305]; cuticular plate [GO:0032437]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; presynaptic cytosol [GO:0099523]; stereocilium [GO:0032420]; synapse [GO:0045202]; terminal bouton [GO:0043195]; calcium ion binding [GO:0005509]; calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration [GO:0099567]; calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration [GO:0099534]; vitamin D binding [GO:0005499]; zinc ion binding [GO:0008270]; cochlea development [GO:0090102]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; metanephric collecting duct development [GO:0072205]; metanephric connecting tubule development [GO:0072286]; metanephric distal convoluted tubule development [GO:0072221]; metanephric part of ureteric bud development [GO:0035502]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; response to auditory stimulus [GO:0010996]; retina layer formation [GO:0010842]; short-term memory [GO:0007614]	GO:0005499; GO:0005509; GO:0005634; GO:0005829; GO:0007614; GO:0007616; GO:0007626; GO:0008270; GO:0010842; GO:0010996; GO:0030424; GO:0030425; GO:0032420; GO:0032437; GO:0035502; GO:0043025; GO:0043195; GO:0043197; GO:0044305; GO:0045202; GO:0070062; GO:0072205; GO:0072221; GO:0072286; GO:0090102; GO:0098686; GO:0098978; GO:0098982; GO:0099509; GO:0099523; GO:0099524; GO:0099534; GO:0099567; GO:1900271
P06276	P06276	reviewed	CHLE_HUMAN	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	BCHE CHE1	Homo sapiens (Human)	602		acetylcholine catabolic process [GO:0006581]; choline metabolic process [GO:0019695]; cocaine metabolic process [GO:0050783]; learning [GO:0007612]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of synaptic transmission [GO:0050805]; neuroblast differentiation [GO:0014016]; peptide hormone processing [GO:0016486]; response to alkaloid [GO:0043279]; response to folic acid [GO:0051593]; response to glucocorticoid [GO:0051384]; xenobiotic metabolic process [GO:0006805]	blood microparticle [GO:0072562]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nuclear envelope lumen [GO:0005641]; plasma membrane [GO:0005886]; acetylcholinesterase activity [GO:0003990]; amyloid-beta binding [GO:0001540]; catalytic activity [GO:0003824]; choline binding [GO:0033265]; cholinesterase activity [GO:0004104]; enzyme binding [GO:0019899]; hydrolase activity, acting on ester bonds [GO:0016788]; identical protein binding [GO:0042802]; acetylcholine catabolic process [GO:0006581]; choline metabolic process [GO:0019695]; cocaine metabolic process [GO:0050783]; learning [GO:0007612]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of synaptic transmission [GO:0050805]; neuroblast differentiation [GO:0014016]; peptide hormone processing [GO:0016486]; response to alkaloid [GO:0043279]; response to folic acid [GO:0051593]; response to glucocorticoid [GO:0051384]; xenobiotic metabolic process [GO:0006805]	GO:0001540; GO:0003824; GO:0003990; GO:0004104; GO:0005576; GO:0005615; GO:0005641; GO:0005788; GO:0005886; GO:0006581; GO:0006805; GO:0007612; GO:0008285; GO:0014016; GO:0016486; GO:0016788; GO:0019695; GO:0019899; GO:0033265; GO:0042802; GO:0043279; GO:0050783; GO:0050805; GO:0051384; GO:0051593; GO:0072562
P06312	P06312	reviewed	KV401_HUMAN	Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH)	IGKV4-1	Homo sapiens (Human)	121		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814; GO:0072562
P06331	P06331	reviewed	HV434_HUMAN	Immunoglobulin heavy variable 4-34 (Ig heavy chain V-II region ARH-77)	IGHV4-34	Homo sapiens (Human)	123		immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0006955; GO:0016064; GO:0019814
P06396	P06396	reviewed	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782		actin filament capping [GO:0051693]; actin filament depolymerization [GO:0030042]; actin filament organization [GO:0007015]; actin filament polymerization [GO:0030041]; actin filament severing [GO:0051014]; actin polymerization or depolymerization [GO:0008154]; amyloid fibril formation [GO:1990000]; barbed-end actin filament capping [GO:0051016]; cardiac muscle cell contraction [GO:0086003]; cell projection assembly [GO:0030031]; cellular response to type II interferon [GO:0071346]; central nervous system development [GO:0007417]; cilium assembly [GO:0060271]; hepatocyte apoptotic process [GO:0097284]; negative regulation of viral entry into host cell [GO:0046597]; phagocytosis, engulfment [GO:0006911]; positive regulation of actin nucleation [GO:0051127]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein destabilization [GO:0031648]; regulation of establishment of T cell polarity [GO:1903903]; regulation of plasma membrane raft polarization [GO:1903906]; regulation of podosome assembly [GO:0071801]; regulation of receptor clustering [GO:1903909]; relaxation of cardiac muscle [GO:0055119]; renal protein absorption [GO:0097017]; response to muscle stretch [GO:0035994]; sequestering of actin monomers [GO:0042989]; striated muscle atrophy [GO:0014891]	actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; blood microparticle [GO:0072562]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; podosome [GO:0002102]; sarcoplasm [GO:0016528]; secretory granule lumen [GO:0034774]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; myosin II binding [GO:0045159]; phosphatidylinositol 3-kinase catalytic subunit binding [GO:0036313]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; actin filament capping [GO:0051693]; actin filament depolymerization [GO:0030042]; actin filament organization [GO:0007015]; actin filament polymerization [GO:0030041]; actin filament severing [GO:0051014]; actin polymerization or depolymerization [GO:0008154]; amyloid fibril formation [GO:1990000]; barbed-end actin filament capping [GO:0051016]; cardiac muscle cell contraction [GO:0086003]; cell projection assembly [GO:0030031]; cellular response to type II interferon [GO:0071346]; central nervous system development [GO:0007417]; cilium assembly [GO:0060271]; hepatocyte apoptotic process [GO:0097284]; negative regulation of viral entry into host cell [GO:0046597]; phagocytosis, engulfment [GO:0006911]; positive regulation of actin nucleation [GO:0051127]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein destabilization [GO:0031648]; regulation of establishment of T cell polarity [GO:1903903]; regulation of plasma membrane raft polarization [GO:1903906]; regulation of podosome assembly [GO:0071801]; regulation of receptor clustering [GO:1903909]; relaxation of cardiac muscle [GO:0055119]; renal protein absorption [GO:0097017]; response to muscle stretch [GO:0035994]; sequestering of actin monomers [GO:0042989]; striated muscle atrophy [GO:0014891]	GO:0002102; GO:0003779; GO:0005509; GO:0005546; GO:0005576; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0007015; GO:0007417; GO:0008154; GO:0010628; GO:0014891; GO:0015629; GO:0016528; GO:0030027; GO:0030031; GO:0030041; GO:0030042; GO:0030478; GO:0030864; GO:0031648; GO:0034774; GO:0035994; GO:0036313; GO:0042989; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051693; GO:0055119; GO:0060271; GO:0070062; GO:0071346; GO:0071801; GO:0072562; GO:0086003; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1904813; GO:1990000; GO:2001269
P06681	P06681	reviewed	CO2_HUMAN	Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment]	C2	Homo sapiens (Human)	752		complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; positive regulation of apoptotic cell clearance [GO:2000427]; proteolysis [GO:0006508]; response to bacterium [GO:0009617]; response to lipopolysaccharide [GO:0032496]; response to nutrient [GO:0007584]; response to thyroid hormone [GO:0097066]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; positive regulation of apoptotic cell clearance [GO:2000427]; proteolysis [GO:0006508]; response to bacterium [GO:0009617]; response to lipopolysaccharide [GO:0032496]; response to nutrient [GO:0007584]; response to thyroid hormone [GO:0097066]	GO:0004252; GO:0005576; GO:0005615; GO:0006508; GO:0006956; GO:0006958; GO:0007584; GO:0009617; GO:0032496; GO:0045087; GO:0046872; GO:0070062; GO:0097066; GO:2000427
