Entry	Entry Name	Protein names	Gene Names	GO
P16152	CBR1_HUMAN	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	other
P08571	CD14_HUMAN	Monocyte differentiation antigen CD14 (My23 antigen) (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]	CD14	innate immune response [GO:0045087]
Q86VB7	C163A_HUMAN	Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	CD163 M130	acute-phase response [GO:0006953]
Q9HCU0	CD248_HUMAN	Endosialin (Tumor endothelial marker 1) (CD antigen CD248)	CD248 CD164L1 TEM1	cell migration [GO:0016477]
P16070	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	cell adhesion [GO:0007155]
P13987	CD59_HUMAN	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)	CD59 MIC11 MIN1 MIN2 MIN3 MSK21	blood coagulation [GO:0007596]
O43866	CD5L_HUMAN	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	CD5L API6 UNQ203/PRO229	inflammatory response [GO:0006954]
Q99459	CDC5L_HUMAN	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	positive regulation of transcription by RNA polymerase II [GO:0045944]
P55287	CAD11_HUMAN	Cadherin-11 (OSF-4) (Osteoblast cadherin) (OB-cadherin)	CDH11	cell adhesion [GO:0007155]
P55290	CAD13_HUMAN	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
P19022	CADH2_HUMAN	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	cell adhesion [GO:0007155]
P55283	CADH4_HUMAN	Cadherin-4 (Retinal cadherin) (R-CAD) (R-cadherin)	CDH4	cell adhesion [GO:0007155]
P33151	CADH5_HUMAN	Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	CDH5	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
P55285	CADH6_HUMAN	Cadherin-6 (Kidney cadherin) (K-cadherin)	CDH6	cell adhesion [GO:0007155]
P55286	CADH8_HUMAN	Cadherin-8	CDH8	cell adhesion [GO:0007155]
Q9HCU4	CELR2_HUMAN	Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3)	CELSR2 CDHF10 EGFL2 KIAA0279 MEGF3	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
P00746	CFAD_HUMAN	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	CFD DF PFD	proteolysis [GO:0006508]
P08603	CFAH_HUMAN	Complement factor H (H factor 1)	CFH HF HF1 HF2	proteolysis [GO:0006508]
Q03591	FHR1_HUMAN	Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36)	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2	complement activation [GO:0006956]
P05156	CFAI_HUMAN	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI IF	proteolysis [GO:0006508]
Q99674	CGRE1_HUMAN	Cell growth regulator with EF hand domain protein 1 (Cell growth regulatory gene 11 protein) (Hydrophobestin)	CGREF1 CGR11	cell adhesion [GO:0007155]
O15335	CHAD_HUMAN	Chondroadherin (Cartilage leucine-rich protein)	CHAD SLRR4A	other
P10645	CMGA_HUMAN	Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1 (Vasostatin I); Vasostatin-2 (Vasostatin II); EA-92; ES-43; Pancreastatin; SS-18; WA-8; WE-14; LF-19; Catestatin (SL21); AL-11; GV-19; GR-44; ER-37; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	CHGA	innate immune response [GO:0045087]
P05060	SCG1_HUMAN	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	CHGB SCG1	other
P36222	CH3L1_HUMAN	Chitinase-3-like protein 1 (39 kDa synovial protein) (Cartilage glycoprotein 39) (CGP-39) (GP-39) (hCGP-39) (YKL-40)	CHI3L1	inflammatory response [GO:0006954]
Q15782	CH3L2_HUMAN	Chitinase-3-like protein 2 (Chondrocyte protein 39) (YKL-39)	CHI3L2	carbohydrate metabolic process [GO:0005975]
A0A087X0M8	A0A087X0M8_HUMAN	Cell adhesion molecule L1 like	CHL1	cell adhesion [GO:0007155]
O00533	NCHL1_HUMAN	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]	CHL1 CALL	cell adhesion [GO:0007155]
O43529	CHSTA_HUMAN	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	CHST10	cell adhesion [GO:0007155]
Q9Y240	CLC11_HUMAN	C-type lectin domain family 11 member A (C-type lectin superfamily member 3) (Lymphocyte secreted C-type lectin) (Osteolectin) (Stem cell growth factor) (p47)	CLEC11A CLECSF3 LSLCL SCGF	positive regulation of cell population proliferation [GO:0008284]
P05452	TETN_HUMAN	Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)	CLEC3B TNA	ossification [GO:0001503]
O00299	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	signal transduction [GO:0007165]
O75503	CLN5_HUMAN	Bis(monoacylglycero)phosphate synthase CLN5 (BMP synthase CLN5) (EC 2.3.1.-) (Ceroid-lipofuscinosis neuronal protein 5) (Protein CLN5) (Palmitoyl protein thioesterase CLN5) (EC 3.1.2.22) (S-depalmitoylase CLN5) [Cleaved into: Bis(monoacylglycero)phosphate synthase CLN5, secreted form]	CLN5 BMPS	brain development [GO:0007420]
O94985	CSTN1_HUMAN	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911	cell adhesion [GO:0007155]
Q9BQT9	CSTN3_HUMAN	Calsyntenin-3 (Alcadein-beta) (Alc-beta)	CLSTN3 CS3 KIAA0726	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
P10909	CLUS_HUMAN	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]	CLU APOJ CLI KUB1 AAG4	innate immune response [GO:0045087]
Q96KN2	CNDP1_HUMAN	Beta-Ala-His dipeptidase (EC 3.4.13.20) (CNDP dipeptidase 1) (Carnosine dipeptidase 1) (Glutamate carboxypeptidase-like protein 2) (Serum carnosinase)	CNDP1 CN1 CPGL2 UNQ1915/PRO4380	proteolysis [GO:0006508]
P26992	CNTFR_HUMAN	Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha)	CNTFR	signal transduction [GO:0007165]
Q12860	CNTN1_HUMAN	Contactin-1 (Glycoprotein gp135) (Neural cell surface protein F3)	CNTN1	cell adhesion [GO:0007155]
Q02246	CNTN2_HUMAN	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)	CNTN2 AXT TAG1 TAX1	cell adhesion [GO:0007155]
Q8IWV2	CNTN4_HUMAN	Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2)	CNTN4	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Q9UQ52	CNTN6_HUMAN	Contactin-6 (Neural recognition molecule NB-3) (hNB-3)	CNTN6	cell adhesion [GO:0007155]
Q9UHC6	CNTP2_HUMAN	Contactin-associated protein-like 2 (Cell recognition molecule Caspr2)	CNTNAP2 CASPR2 KIAA0868	cell adhesion [GO:0007155]
Q9C0A0	CNTP4_HUMAN	Contactin-associated protein-like 4 (Cell recognition molecule Caspr4)	CNTNAP4 CASPR4 KIAA1763	cell adhesion [GO:0007155]
P39059	COFA1_HUMAN	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]	COL15A1	cell adhesion [GO:0007155]
P39060	COIA1_HUMAN	Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)]	COL18A1	cell adhesion [GO:0007155]
P02452	CO1A1_HUMAN	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	COL1A1	positive regulation of cell migration [GO:0030335]
P08123	CO1A2_HUMAN	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	COL1A2	extracellular matrix organization [GO:0030198]
P02461	CO3A1_HUMAN	Collagen alpha-1(III) chain	COL3A1	cell-matrix adhesion [GO:0007160]
P08572	CO4A2_HUMAN	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]	COL4A2	angiogenesis [GO:0001525]
P12109	CO6A1_HUMAN	Collagen alpha-1(VI) chain	COL6A1	cell adhesion [GO:0007155]
P12110	CO6A2_HUMAN	Collagen alpha-2(VI) chain	COL6A2	cell adhesion [GO:0007155]
P12111	CO6A3_HUMAN	Collagen alpha-3(VI) chain	COL6A3	cell adhesion [GO:0007155]
Q5KU26	COL12_HUMAN	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)	COLEC12 CLP1 NSR2 SCARA4 SRCL	innate immune response [GO:0045087]
P31146	COR1A_HUMAN	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	CORO1A CORO1	innate immune response [GO:0045087]
Q14019	COTL1_HUMAN	Coactosin-like protein	COTL1 CLP	other
P00450	CERU_HUMAN	Ceruloplasmin (Cuproxidase ceruloplasmin) (EC 1.16.3.4) (Ferroxidase ceruloplasmin) (EC 1.16.3.1) (Glutathione peroxidase ceruloplasmin) (EC 1.11.1.9) (Glutathione-dependent peroxiredoxin ceruloplasmin) (EC 1.11.1.27)	CP	other
Q96IY4	CBPB2_HUMAN	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	proteolysis [GO:0006508]
P16870	CBPE_HUMAN	Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	CPE	neuropeptide signaling pathway [GO:0007218]
P14384	CBPM_HUMAN	Carboxypeptidase M (CPM) (EC 3.4.17.12)	CPM	other
P15169	CBPN_HUMAN	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)	CPN1 ACBP	other
P22792	CPN2_HUMAN	Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit)	CPN2 ACBP	protein stabilization [GO:0050821]
Q9Y646	CBPQ_HUMAN	Carboxypeptidase Q (EC 3.4.17.-) (Lysosomal dipeptidase) (Plasma glutamate carboxypeptidase)	CPQ LCH1 PGCP	proteolysis [GO:0006508]
Q9H3G5	CPVL_HUMAN	Probable serine carboxypeptidase CPVL (EC 3.4.16.-) (Carboxypeptidase, vitellogenic-like) (Vitellogenic carboxypeptidase-like protein) (VCP-like protein) (hVLP)	CPVL VLP PSEC0124 UNQ197/PRO223	proteolysis [GO:0006508]
P02741	CRP_HUMAN	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	CRP PTX1	innate immune response [GO:0045087]
Q9NQ79	CRAC1_HUMAN	Cartilage acidic protein 1 (68 kDa chondrocyte-expressed protein) (CEP-68) (ASPIC)	CRTAC1 ASPIC1 CEP68	other
P09603	CSF1_HUMAN	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF) [Cleaved into: Processed macrophage colony-stimulating factor 1; Macrophage colony-stimulating factor 1 43 kDa subunit]	CSF1	innate immune response [GO:0045087]
P07333	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS	innate immune response [GO:0045087]
O95196	CSPG5_HUMAN	Chondroitin sulfate proteoglycan 5 (Acidic leucine-rich EGF-like domain-containing brain protein) (Neuroglycan C)	CSPG5 CALEB NGC	nervous system development [GO:0007399]
P01034	CYTC_HUMAN	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	other
Q15828	CYTM_HUMAN	Cystatin-M (Cystatin-6) (Cystatin-E)	CST6	other
P04080	CYTB_HUMAN	Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B)	CSTB CST6 STFB	other
Q01459	DIAC_HUMAN	Di-N-acetylchitobiase (EC 3.2.1.-)	CTBS CTB	other
P07858	CATB_HUMAN	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	proteolysis [GO:0006508]
P53634	CATC_HUMAN	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	immune response [GO:0006955]
P07339	CATD_HUMAN	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	proteolysis [GO:0006508]
Q9UBX1	CATF_HUMAN	Cathepsin F (CATSF) (EC 3.4.22.41)	CTSF	proteolysis [GO:0006508]
P09668	CATH_HUMAN	Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]	CTSH CPSB	immune response [GO:0006955]
P07711	CATL1_HUMAN	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	CTSL CTSL1	immune response [GO:0006955]
P25774	CATS_HUMAN	Cathepsin S (EC 3.4.22.27)	CTSS	immune response [GO:0006955]
Q9UBR2	CATZ_HUMAN	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	CTSZ	proteolysis [GO:0006508]
O60888	CUTA_HUMAN	Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor)	CUTA ACHAP C6orf82	other
P99999	CYC_HUMAN	Cytochrome c	CYCS CYC	other
Q14118	DAG1_HUMAN	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	axon guidance [GO:0007411]
P09172	DOPO_HUMAN	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH	locomotory behavior [GO:0007626]
P07108	ACBP_HUMAN	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)	DBI	other
P43146	DCC_HUMAN	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	DCC IGDCC1	axon guidance [GO:0007411]
P81605	DCD_HUMAN	Dermcidin (EC 3.4.-.-) (Preproteolysin) [Cleaved into: Survival-promoting peptide; DCD-1]	DCD AIDD DSEP	proteolysis [GO:0006508]
P07585	PGS2_HUMAN	Decorin (Bone proteoglycan II) (PG-S2) (PG40)	DCN SLRR1B	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]
Q08345	DDR1_HUMAN	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	cell adhesion [GO:0007155]
P98153	IDD_HUMAN	Integral membrane protein DGCR2/IDD	DGCR2 IDD KIAA0163	cell adhesion [GO:0007155]
Q9UBP4	DKK3_HUMAN	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3)	DKK3 REIC UNQ258/PRO295	other
P42658	DPP6_HUMAN	A-type potassium channel modulatory protein DPP6 (DPPX) (Dipeptidyl aminopeptidase-like protein 6) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI)	DPP6	proteolysis [GO:0006508]
Q9UHL4	DPP2_HUMAN	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	DPP7 DPP2 QPP	proteolysis [GO:0006508]
Q02487	DSC2_HUMAN	Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III)	DSC2 CDHF2 DSC3	cell adhesion [GO:0007155]
Q14574	DSC3_HUMAN	Desmocollin-3 (Cadherin family member 3) (Desmocollin-4) (HT-CP)	DSC3 CDHF3 DSC4	cell adhesion [GO:0007155]
Q16610	ECM1_HUMAN	Extracellular matrix protein 1 (Secretory component p85)	ECM1	signal transduction [GO:0007165]
O94769	ECM2_HUMAN	Extracellular matrix protein 2 (Matrix glycoprotein SC1/ECM2)	ECM2	cell-matrix adhesion [GO:0007160]
Q9H1Z8	AUGN_HUMAN	Augurin (Esophageal cancer-related gene 4 protein) (ECRG4)	ECRG4 C2orf40 UNQ761/PRO1508	central nervous system development [GO:0007417]
Q12805	FBLN3_HUMAN	EGF-containing fibulin-like extracellular matrix protein 1 (Extracellular protein S1-5) (Fibrillin-like protein) (Fibulin-3) (FIBL-3)	EFEMP1 FBLN3 FBNL	other
P20827	EFNA1_HUMAN	Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) (Tumor necrosis factor alpha-induced protein 4) (TNF alpha-induced protein 4) [Cleaved into: Ephrin-A1, secreted form]	EFNA1 EPLG1 LERK1 TNFAIP4	axon guidance [GO:0007411]
P52799	EFNB2_HUMAN	Ephrin-B2 (EPH-related receptor tyrosine kinase ligand 5) (LERK-5) (HTK ligand) (HTK-L)	EFNB2 EPLG5 HTKL LERK5	cell adhesion [GO:0007155]
P63241	IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D)	EIF5A	positive regulation of transcription by RNA polymerase II [GO:0045944]
Q9GZV4	IF5A2_HUMAN	Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2)	EIF5A2	spermatogenesis [GO:0007283]
P63241;Q6IS14;Q9GZV4	IF5A1_HUMAN; IF5A1_HUMAN; IF5A1_HUMAN; IF5A1_HUMAN; IF5A1_HUMAN; IF5A1_HUMAN; IF5A1_HUMAN; IF5AL_HUMAN; IF5AL_HUMAN; IF5AL_HUMAN; IF5A2_HUMAN; IF5A2_HUMAN; IF5A2_HUMAN; IF5A2_HUMAN	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D); Eukaryotic translation initiation factor 5A-1-like (eIF-5A-1-like) (eIF-5A1-like) (Eukaryotic initiation factor 5A isoform 1-like); Eukaryotic translation initiation factor 5A-1-like (eIF-5A-1-like) (eIF-5A1-like) (Eukaryotic initiation factor 5A isoform 1-like); Eukaryotic translation initiation factor 5A-1-like (eIF-5A-1-like) (eIF-5A1-like) (Eukaryotic initiation factor 5A isoform 1-like); Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2); Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2); Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2); Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2)	EIF5A; EIF5A; EIF5A; EIF5A; EIF5A; EIF5A; EIF5A; EIF5AL1; EIF5AL1; EIF5AL1; EIF5A2; EIF5A2; EIF5A2; EIF5A2	positive regulation of transcription by RNA polymerase II [GO:0045944]
Q6IS14	IF5AL_HUMAN	Eukaryotic translation initiation factor 5A-1-like (eIF-5A-1-like) (eIF-5A1-like) (Eukaryotic initiation factor 5A isoform 1-like)	EIF5AL1	other
O94919	ENDD1_HUMAN	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	ENDOD1 KIAA0830	innate immune response [GO:0045087]
P06733	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	other
P09104	ENOG_HUMAN	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	ENO2	other
E7EUF1	E7EUF1_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase 2	ENPP2	immune response [GO:0006955]
Q9UJA9	ENPP5_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-)	ENPP5 UNQ550/PRO1107	other
Q9UM22	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	cell-matrix adhesion [GO:0007160]
P54764	EPHA4_HUMAN	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	EPHA4 HEK8 SEK TYRO1	cell adhesion [GO:0007155]
P54756	EPHA5_HUMAN	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	axon guidance [GO:0007411]
Q9UBQ6	EXTL2_HUMAN	Exostosin-like 2 (EC 2.4.1.223) (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) [Cleaved into: Processed exostosin-like 2]	EXTL2 EXTR2	other
P00742	FA10_HUMAN	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	proteolysis [GO:0006508]
